,matchId,Type,SecondaryType,location,team,opponentTeam,Player,goal,X,Y,C,distance,angle,arc_length,distance_squared,distance_cube,adj_distance,adj_distance_squared,adj_distance_cube
76296,5251240,free_kick,['free_kick_cross'],"{'x': 64, 'y': 91}",Cagliari,Genoa,R. Marin,0,36.0,91.0,41.0,46.96950500058522,0.12552395187400603,5.895797885239345,2206.1344000000004,103621.04073276308,30.469505000585222,928.3907349806879,28287.60614199106
76392,5251240,free_kick,['free_kick_cross'],"{'x': 73, 'y': 6}",Cagliari,Genoa,Dalbert,0,27.0,6.0,44.0,41.218065214175205,0.12250298878476922,5.049336180661991,1698.9289,70026.56219444695,24.718065214175205,610.9827479322183,15102.311408124544
76646,5251240,free_kick,['free_kick_cross'],"{'x': 66, 'y': 84}",Genoa,Cagliari,P. Galdames,0,34.0,84.0,34.0,42.5326274758567,0.1445188177042462,6.146765036665948,1809.0244000000002,76942.5608999352,26.0326274758567,677.6976932967292,17642.251590841137
76670,5251240,free_kick,"['free_kick_cross', 'shot_assist']","{'x': 62, 'y': 29}",Cagliari,Genoa,R. Marin,0,38.0,29.0,21.0,42.37839543918575,0.16240689180540446,6.882543482978487,1795.9283999999998,76108.56391566416,25.878395439185752,669.69135050687,17330.53759061913
76851,5251240,free_kick,['free_kick_cross'],"{'x': 54, 'y': 87}",Cagliari,Genoa,L. Ceppitelli,0,46.0,87.0,37.0,54.46022034476173,0.11917970623103388,6.490553061966078,2965.9155999999994,161524.41709996617,37.96022034476173,1440.9783286228624,54699.85486655033
77114,5251240,free_kick,['free_kick_cross'],"{'x': 60, 'y': 56}",Genoa,Cagliari,P. Galdames,0,40.0,56.0,6.0,42.19770609879168,0.17224136312567842,7.268190419232632,1780.6464000000003,75139.19345307146,25.697706098791677,660.372098739875,16970.048109259544
77148,5251240,free_kick,['free_kick_cross'],"{'x': 67, 'y': 77}",Genoa,Cagliari,P. Galdames,0,33.0,77.0,27.0,39.21367236054282,0.16488393033805707,6.465704421795136,1537.7121000000002,60299.338474242264,22.713672360542823,515.910912102087,11718.23142471561
77289,5251240,free_kick,['free_kick_cross'],"{'x': 62, 'y': 63}",Genoa,Cagliari,P. Galdames,0,38.0,63.0,13.0,40.86753723923182,0.17449575955820915,7.131211951833154,1670.1555999999998,68255.14617831155,24.367537239231822,593.7768711053496,14468.880018454161
77641,5251238,free_kick,['free_kick_cross'],"{'x': 73, 'y': 93}",Udinese,Bologna,Gerard Deulofeu,0,27.0,93.0,43.0,40.72714205539102,0.12546730124711633,5.109924601197846,1658.7001,67554.11459999128,24.22714205539102,586.9544121720962,14220.227923731907
77793,5251238,free_kick,['free_kick_cross'],"{'x': 74, 'y': 91}",Bologna,Udinese,R. Orsolini,0,26.0,91.0,41.0,39.02030753338574,0.13164702483278595,5.136907394830577,1522.5844,59411.71153353561,22.52030753338574,507.1642513982705,11421.49491142841
78019,5251238,free_kick,['free_kick_cross'],"{'x': 66, 'y': 66}",Bologna,Udinese,M. Barrow,0,34.0,66.0,16.0,37.32109859047561,0.18721960456276704,6.987241319956886,1392.8644000000004,51983.229595563665,20.821098590475607,433.51814651430533,9026.3240693346
